FECHA,COVARIADO,PARTICULAR
7/08/2019,Festividad,Batalla de Boyacá
21/09/2019,Festividad,Amor y amistad
12/09/2019,Festividad,Jazz al Parque
13/09/2019,Festividad,Jazz al Parque
14/09/2019,Festividad,Jazz al Parque
15/09/2019,Festividad,Jazz al Parque
29/06/2019,Festividad,Rock al Parque
30/06/2019,Festividad,Rock al Parque
1/07/2019,Festividad,Rock al Parque
5/10/2019,Festividad,Hip-hop al Parque
6/10/2019,Festividad,Hip-hop al Parque
31/10/2019,Festividad,Halloween
7/12/2019,Festividad,Día de Velitas
8/12/2019,Festividad,Día de Velitas
24/12/2019,Festividad,Navidad
25/12/2019,Festividad,Navidad
31/12/2019,Festividad,Año nuevo
1/01/2020,Festividad,Año nuevo
6/01/2020,Festividad,Día de reyes
14/02/2020,Festividad,San Valentín
9/04/2020,Festividad,Jueves santo
10/04/2020,Festividad,Viernes santo
8/03/2020,Festividad,Día de la mujer
25/04/2020,Festividad,Día del niño
1/05/2020,Festividad,Día del trabajo
10/05/2020,Festividad,Día de la madre
21/06/2020,Festividad,Día del padre
16/07/2020,Festividad,Día de la virgen del carmen
20/07/2020,Festividad,Día de la Independencia
7/08/2020,Festividad,Batalla de Boyacá
19/09/2020,Festividad,Amor y amistad
31/10/2020,Festividad,Halloween
7/12/2020,Festividad,Día de Velitas
8/12/2020,Festividad,Día de Velitas
24/12/2020,Festividad,Navidad
25/12/2020,Festividad,Navidad
31/12/2020,Festividad,Año nuevo
